107000,110000
300000,305000
118000,125000
209500,211500
103000,117500
65800,71400
232700,236800
130699,140400
61900,66800
194223,200300
17000,25000
144000,163000
149700,157500
91000,96000
209000,215000
4000,11500
83400,89100
12150,14800
27000,46000
108200,113200
76400,79148
78500,88000
98000,108000
231000,235000
131000,143000
115000,123000
59000,70000
37000,42000
94000,98500
50000,70000
306000,317000
158000,165000
90000,110000
86000,95000
216000,225000
74000,86000
96000,98000
190000,200000
564000,567000
99000,120000
149000,155000
413000,420000
139000,150000
109000,112000
35000,42000
48000,55000
62000,70000
46000,56000
20000,25000
32000,40000
107000,117000
24000,37000
67000,80000
142000,150000
100000,106000
69000,79000
109000,112000
15000,20000
34000,40000
97000,105000
37000,50000
39000,48000
