task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,category,type,value,additionals,teamFamily
vbse001,visione4,4,1668157277025,28658.0,175538.0,466.0,466.0,466.0,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157310840,62473.0,175538.0,193.0,193.0,193.0,TEXT,LocalizedObjectAndColors,black,"{""subtype"":""classes"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157310840,62473.0,175538.0,193.0,193.0,193.0,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157310840,62473.0,175538.0,193.0,193.0,193.0,TEXT, LocalizedObjectAndColors,0ablack 0bblack 0cblack 1ablack 1bblack 1cblack 2ablack 2bblack 2cblack 3ablack 3bblack 3cblack,"{""subtype"":""position"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157325007,76640.0,175538.0,3670.0,3670.0,3670.0,TEXT,LocalizedObjectAndColors,black,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157325007,76640.0,175538.0,3670.0,3670.0,3670.0,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157325007,76640.0,175538.0,3670.0,3670.0,3670.0,TEXT, LocalizedObjectAndColors,0ablack 0bblack 0cblack 1ablack 1bblack 1cblack 2ablack 2bblack 2cblack 3ablack 3bblack 3cblack,"{""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157325007,76640.0,175538.0,3670.0,3670.0,3670.0,TEXT,LocalizedObjectAndColors,cup,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157325007,76640.0,175538.0,3670.0,3670.0,3670.0,TEXT, LocalizedObjectAndColors,1ccup 1dcup 1ecup 2ccup 2dcup 2ecup 3ccup 3dcup 3ecup,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157359149,110782.0,175538.0,1740.0,1740.0,1740.0,TEXT,LocalizedObjectAndColors,black,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157359149,110782.0,175538.0,1740.0,1740.0,1740.0,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157359149,110782.0,175538.0,1740.0,1740.0,1740.0,TEXT, LocalizedObjectAndColors,0ablack 0bblack 0cblack 1ablack 1bblack 1cblack 2ablack 2bblack 2cblack 3ablack 3bblack 3cblack,"{""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157359149,110782.0,175538.0,1740.0,1740.0,1740.0,TEXT,LocalizedObjectAndColors,cup,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157359149,110782.0,175538.0,1740.0,1740.0,1740.0,TEXT,jointEmbedding,a sign in the lamp,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157359149,110782.0,175538.0,1740.0,1740.0,1740.0,TEXT, LocalizedObjectAndColors,1ccup 1dcup 1ecup 2ccup 2dcup 2ecup 3ccup 3dcup 3ecup,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157374519,126152.0,175538.0,inf,inf,inf,TEXT,LocalizedObjectAndColors,black,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157374519,126152.0,175538.0,inf,inf,inf,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157374519,126152.0,175538.0,inf,inf,inf,TEXT, LocalizedObjectAndColors,0ablack 0bblack 0cblack 1ablack 1bblack 1cblack 2ablack 2bblack 2cblack 3ablack 3bblack 3cblack,"{""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157374519,126152.0,175538.0,inf,inf,inf,TEXT,jointEmbedding,a sign in the lamp,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157382846,134479.0,175538.0,inf,inf,inf,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157382846,134479.0,175538.0,inf,inf,inf,TEXT,jointEmbedding,a sign in the lamp,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157417980,169613.0,175538.0,1.0,1.0,1.0,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione4,4,1668157417980,169613.0,175538.0,1.0,1.0,1.0,TEXT,jointEmbedding,a palace in the dark,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157578558,6584.0,,9007.0,inf,inf,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157602996,31022.0,,6901.0,inf,inf,Image,globalFeatures,15265/15265_24.jpg,"{""subtype"":""sematic similarity (tern)"",""queryparameter"":""simReorder=false""}",visione
vbse002,visione4,4,1668157646525,74551.0,,inf,inf,inf,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157646525,74551.0,,inf,inf,inf,TEXT,jointEmbedding,two tracks in the middle of the green,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157652619,80645.0,,9635.0,inf,inf,TEXT,jointEmbedding,two tracks in the middle of the green,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157665098,93124.0,,inf,inf,inf,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157665098,93124.0,,inf,inf,inf,TEXT,jointEmbedding,two tracks in the middle of the green,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157670267,98293.0,,inf,inf,inf,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157670267,98293.0,,inf,inf,inf,TEXT,jointEmbedding,two railway tracks in the middle of the green,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157676147,104173.0,,inf,inf,inf,TEXT,jointEmbedding,two railway tracks in the middle of the green,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157706660,134686.0,,7234.0,inf,inf,TEXT,jointEmbedding,two railway tracks run fast,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157731058,159084.0,,3117.0,inf,inf,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157731058,159084.0,,3117.0,inf,inf,TEXT,jointEmbedding,two railway tracks run fast,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157762901,190927.0,,inf,inf,inf,TEXT,jointEmbedding,two lines run fast in the middle of trees,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157762901,190927.0,,inf,inf,inf,TEXT,jointEmbedding,two railway tracks run fast,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157770742,198768.0,,inf,inf,inf,TEXT,jointEmbedding,two lines run fast in the middle of trees,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157800989,229015.0,,inf,inf,inf,TEXT,jointEmbedding,two parallel lines run fast in the middle of trees,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157810654,238680.0,,inf,inf,inf,TEXT,jointEmbedding,two parallel lines run fast,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157828806,256832.0,,inf,inf,inf,Image,globalFeatures,15562/15562_7.jpg,"{""subtype"":""sematic video similarity (clip)"",""queryparameter"":""simReorder=false""}",visione
vbse002,visione4,4,1668157845680,273706.0,,808.0,inf,inf,Image,globalFeatures,09728/09728_11.jpg,"{""subtype"":""sematic similarity (tern)"",""queryparameter"":""simReorder=false""}",visione
vbse002,visione4,4,1668157862762,290788.0,,inf,inf,inf,TEXT,jointEmbedding,two parallel lines run fast,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione4,4,1668157868777,296803.0,,9007.0,inf,inf,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse003,visione4,4,1668157950124,7547.0,75261.0,247.0,438.0,438.0,TEXT,jointEmbedding,Close-up shot of water waves reflecting the sun.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse004,visione4,4,1668158281610,7023.0,72504.0,241.0,2888.0,241.0,TEXT,jointEmbedding,A woman having a mobile phone call in bed,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
