task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,category,type,value,additionals,teamFamily
vbse001,visione2,2,1668157256566,8199.0,83979.0,466.0,466.0,466.0,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione2,2,1668157307457,59090.0,83979.0,17.0,17.0,17.0,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione2,2,1668157307457,59090.0,83979.0,17.0,17.0,17.0,TEXT,jointEmbedding,chinese lamp,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione2,2,1668157323984,75617.0,83979.0,9.0,9.0,9.0,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione2,2,1668157323984,75617.0,83979.0,9.0,9.0,9.0,TEXT,jointEmbedding,"chinese lamp, raining","{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione2,2,1668157577798,5824.0,,9007.0,inf,inf,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione2,2,1668157629716,57742.0,,9017.0,inf,inf,TEXT,LocalizedObjectAndColors,blue,"{""subtype"":""classes"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione2,2,1668157629716,57742.0,,9017.0,inf,inf,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione2,2,1668157629716,57742.0,,9017.0,inf,inf,TEXT, LocalizedObjectAndColors,0ablue 0bblue 1ablue 1bblue,"{""subtype"":""position"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione2,2,1668157629924,57950.0,,2265.0,2273.0,2265.0,TEXT,LocalizedObjectAndColors,blue green,"{""subtype"":""classes"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione2,2,1668157629924,57950.0,,2265.0,2273.0,2265.0,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione2,2,1668157629924,57950.0,,2265.0,2273.0,2265.0,TEXT, LocalizedObjectAndColors,0ablue 0bblue 1ablue 1bblue 3egreen 3fgreen 4egreen 4fgreen 5egreen 5fgreen,"{""subtype"":""position"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione2,2,1668157668982,97008.0,,2917.0,2917.0,2917.0,TEXT,LocalizedObjectAndColors,blue green,"{""subtype"":""classes"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione2,2,1668157668982,97008.0,,2917.0,2917.0,2917.0,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione2,2,1668157668982,97008.0,,2917.0,2917.0,2917.0,TEXT, LocalizedObjectAndColors,0ablue 0bblue 1ablue 1bblue 3fgreen 3ggreen 4fgreen 4ggreen 5fgreen 5ggreen 6fgreen 6ggreen,"{""subtype"":""position"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione2,2,1668157670568,98594.0,,8628.0,8628.0,8628.0,TEXT,LocalizedObjectAndColors,blue green,"{""subtype"":""classes"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
