task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,max_rank,category,type,value,additionals,teamFamily
vbse001,cvhunter1,1,1668157262045,13678.0,24219.0,2.0,2.0,2.0,10000.0,TEXT,JointEmbedding,CLIP: A woman holding a steaming mug close to the camera.,{},cvhunter
vbse001,cvhunter1,1,1668157263040,14673.0,24219.0,2.0,2.0,2.0,10000.0,TEXT,JointEmbedding,CLIP: A woman holding a steaming mug close to the camera.,{},cvhunter
vbse002,cvhunter1,1,1668157580162,8188.0,,136.0,136.0,136.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks.,{},cvhunter
vbse002,cvhunter1,1,1668157580949,8975.0,,136.0,136.0,136.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks.,{},cvhunter
vbse002,cvhunter1,1,1668157614097,42123.0,,1161.0,1161.0,1161.0,10000.0,IMAGE,feedbackModel,Bayes CLIP 15821:2727_16612:962_12565:4812_5225:238_5284:4072_7119:14670_14218:11486_10199:2400_8062:506_6949:6325_| group:1|6691:2025_10199:2486_9536:8688_,{},cvhunter
vbse002,cvhunter1,1,1668157654620,82646.0,,137.0,137.0,137.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast on railway tracks,{},cvhunter
vbse002,cvhunter1,1,1668157655580,83606.0,,137.0,137.0,137.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast on railway tracks,{},cvhunter
vbse002,cvhunter1,1,1668157671324,99350.0,,169.0,169.0,169.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast on two railway tracks,{},cvhunter
vbse002,cvhunter1,1,1668157672161,100187.0,,169.0,169.0,169.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast on two railway tracks,{},cvhunter
vbse002,cvhunter1,1,1668157749627,177653.0,,96.0,96.0,96.0,10000.0,IMAGE,feedbackModel,Bayes CLIP 15821:2727_10199:2408_627:4338_2697:65222_12182:22860_2213:612_12051:1975_10199:4181_7674:55205_13650:3971_| group:1|592:2281_592:2400_16612:962_5225:188_13650:1626_592:2631_,{},cvhunter
vbse002,cvhunter1,1,1668157834438,262464.0,,135.0,135.0,135.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks,{},cvhunter
vbse002,cvhunter1,1,1668157835238,263264.0,,135.0,135.0,135.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks,{},cvhunter
vbse003,cvhunter1,1,1668157951813,9236.0,87325.0,46.0,48.0,48.0,10000.0,TEXT,JointEmbedding,CLIP: Close-up shot of water waves reflecting the sun.,{},cvhunter
vbse003,cvhunter1,1,1668157952736,10159.0,87325.0,46.0,48.0,48.0,10000.0,TEXT,JointEmbedding,CLIP: Close-up shot of water waves reflecting the sun.,{},cvhunter
vbse003,cvhunter1,1,1668157977712,35135.0,87325.0,33.0,33.0,33.0,10000.0,IMAGE,feedbackModel,Bayes CLIP 14063:20482_15986:1516_13974:2619_10669:1798_10675:35219_309:3762_3180:9438_9408:4200_8429:5088_11491:6200_| group:1|2570:5209_4345:6616_11887:7852_3227:2781_,{},cvhunter
vbse004,cvhunter1,1,1668158285144,10557.0,18367.0,3.0,3.0,3.0,10000.0,TEXT,JointEmbedding,CLIP: A woman having a mobile phone call in bed,{},cvhunter
vbse004,cvhunter1,1,1668158285820,11233.0,18367.0,3.0,3.0,3.0,10000.0,TEXT,JointEmbedding,CLIP: A woman having a mobile phone call in bed,{},cvhunter
vbse005,cvhunter1,1,1668158410624,8811.0,13271.0,2.0,2.0,2.0,10000.0,TEXT,JointEmbedding,CLIP: A red seaplane on a lake with forests around.,{},cvhunter
vbse005,cvhunter1,1,1668158411407,9594.0,13271.0,2.0,2.0,2.0,10000.0,TEXT,JointEmbedding,CLIP: A red seaplane on a lake with forests around.,{},cvhunter
vbse006,cvhunter1,1,1668158464791,8512.0,48650.0,42.0,105.0,105.0,10000.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in a room with a yellow sofa.,{},cvhunter
vbse006,cvhunter1,1,1668158465724,9445.0,48650.0,42.0,105.0,105.0,10000.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in a room with a yellow sofa.,{},cvhunter
vbse007,cvhunter1,1,1668158714126,8536.0,13100.0,6.0,6.0,6.0,10000.0,TEXT,JointEmbedding,CLIP: Four people waving on a mountain summit.,{},cvhunter
vbse007,cvhunter1,1,1668158715187,9597.0,13100.0,6.0,6.0,6.0,10000.0,TEXT,JointEmbedding,CLIP: Four people waving on a mountain summit.,{},cvhunter
vbse008,cvhunter1,1,1668158779713,7774.0,195967.0,255.0,4069.0,2746.0,10000.0,TEXT,JointEmbedding,CLIP: A white van driving between ruins.,{},cvhunter
vbse008,cvhunter1,1,1668158780806,8867.0,195967.0,255.0,4069.0,2746.0,10000.0,TEXT,JointEmbedding,CLIP: A white van driving between ruins.,{},cvhunter
vbse008,cvhunter1,1,1668158810764,38825.0,195967.0,3430.0,inf,3450.0,10000.0,IMAGE,feedbackModel,Bayes CLIP 14123:4856_842:21162_3554:1319_8311:2218_16112:5117_4077:20156_5141:2906_14696:29412_14063:15510_11686:3968_| group:1|12042:36381_2367:7235_,{},cvhunter
vbse008,cvhunter1,1,1668158884332,112393.0,195967.0,17.0,6557.0,2113.0,10000.0,TEXT,JointEmbedding,CLIP: white van ruins stone block,{},cvhunter
vbse008,cvhunter1,1,1668158885127,113188.0,195967.0,17.0,6557.0,2113.0,10000.0,TEXT,JointEmbedding,CLIP: white van ruins stone block,{},cvhunter
vbse009,cvhunter1,1,1668159104481,8409.0,23681.0,12.0,12.0,12.0,3371.0,TEXT,JointEmbedding,CLIP: Two men running backwards up a downwards moving escalator.,{},cvhunter
vbse009,cvhunter1,1,1668159105237,9165.0,23681.0,12.0,12.0,12.0,3371.0,TEXT,JointEmbedding,CLIP: Two men running backwards up a downwards moving escalator.,{},cvhunter
vbse010,cvhunter1,1,1668159236229,9746.0,,232.0,232.0,232.0,6303.0,TEXT,JointEmbedding,CLIP: People dancing and drumming on the street at night.,{},cvhunter
vbse010,cvhunter1,1,1668159237020,10537.0,,232.0,232.0,232.0,6303.0,TEXT,JointEmbedding,CLIP: People dancing and drumming on the street at night.,{},cvhunter
vbse010,cvhunter1,1,1668159292769,66286.0,,173.0,173.0,173.0,10000.0,TEXT,JointEmbedding,CLIP: dancing and drumming on the street at night,{},cvhunter
vbse010,cvhunter1,1,1668159293409,66926.0,,173.0,173.0,173.0,10000.0,TEXT,JointEmbedding,CLIP: dancing and drumming on the street at night,{},cvhunter
vbse010,cvhunter1,1,1668159307090,80607.0,,710.0,710.0,710.0,10000.0,TEXT,JointEmbedding,CLIP: dancing and drumming on the street at night yellow suit woman,{},cvhunter
vbse010,cvhunter1,1,1668159307735,81252.0,,710.0,710.0,710.0,10000.0,TEXT,JointEmbedding,CLIP: dancing and drumming on the street at night yellow suit woman,{},cvhunter
vbse010,cvhunter1,1,1668159502408,275925.0,,81.0,1341.0,1341.0,10000.0,TEXT,JointEmbedding,CLIP: Lemondequitourne,{},cvhunter
vbse010,cvhunter1,1,1668159503188,276705.0,,81.0,1341.0,1341.0,10000.0,TEXT,JointEmbedding,CLIP: Lemondequitourne,{},cvhunter
vbse010,cvhunter1,1,1668159507887,281404.0,,81.0,1341.0,1341.0,10000.0,TEXT,JointEmbedding,CLIP: lemondequitourne,{},cvhunter
vbse010,cvhunter1,1,1668159508611,282128.0,,81.0,1341.0,1341.0,10000.0,TEXT,JointEmbedding,CLIP: lemondequitourne,{},cvhunter
vbse010,cvhunter1,1,1668159519703,293220.0,,429.0,2458.0,2458.0,10000.0,TEXT,JointEmbedding,CLIP: lemondequitourne drums,{},cvhunter
vbse010,cvhunter1,1,1668159520428,293945.0,,429.0,2458.0,2458.0,10000.0,TEXT,JointEmbedding,CLIP: lemondequitourne drums,{},cvhunter
vbse012,cvhunter1,1,1668159649806,7614.0,71196.0,100.0,312.0,100.0,10000.0,TEXT,JointEmbedding,CLIP: View of a volcano with clouds moving in from the right.,{},cvhunter
vbse012,cvhunter1,1,1668159650702,8510.0,71196.0,100.0,312.0,100.0,10000.0,TEXT,JointEmbedding,CLIP: View of a volcano with clouds moving in from the right.,{},cvhunter
vbse012,cvhunter1,1,1668159688849,46657.0,71196.0,35.0,35.0,35.0,10000.0,IMAGE,feedbackModel,Bayes CLIP 5761:4788_6097:3269_426:2075_426:1700_6511:2312_8851:539_948:4744_2281:2242_14857:2510_8185:3664_| group:1|5761:3375_948:4606_3914:2949_6253:6421_6253:6436_,{},cvhunter
vbse013,cvhunter1,1,1668160033728,8770.0,,2039.0,inf,inf,10000.0,TEXT,JointEmbedding,CLIP: Flashing shots of a man on a bed and in front of a wall.,{},cvhunter
vbse013,cvhunter1,1,1668160034704,9746.0,,2039.0,inf,inf,10000.0,TEXT,JointEmbedding,CLIP: Flashing shots of a man on a bed and in front of a wall.,{},cvhunter
vbse013,cvhunter1,1,1668160098674,73716.0,,523.0,523.0,523.0,10000.0,TEXT,JointEmbedding,CLIP: Flashing shots man on a bed wall with text,{},cvhunter
vbse013,cvhunter1,1,1668160099363,74405.0,,523.0,523.0,523.0,10000.0,TEXT,JointEmbedding,CLIP: Flashing shots man on a bed wall with text,{},cvhunter
