task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,max_rank,category,type,value,additionals,teamFamily
vbse001,cvhunter3,3,1668157256442,8075.0,11755.0,2.0,2.0,2.0,10000.0,TEXT,JointEmbedding,CLIP: A woman holding a steaming mug close to the camera.,{},cvhunter
vbse001,cvhunter3,3,1668157257647,9280.0,11755.0,2.0,2.0,2.0,10000.0,TEXT,JointEmbedding,CLIP: A woman holding a steaming mug close to the camera.,{},cvhunter
vbse002,cvhunter3,3,1668157578151,6177.0,121728.0,136.0,136.0,136.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks.,{},cvhunter
vbse002,cvhunter3,3,1668157579318,7344.0,121728.0,136.0,136.0,136.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks.,{},cvhunter
vbse002,cvhunter3,3,1668157596593,24619.0,121728.0,55.0,55.0,55.0,10000.0,IMAGE,feedbackModel,Bayes CLIP 15821:2727_592:2281_11887:5949_10199:2396_5284:4072_7119:14670_2697:65222_13471:854_10199:2445_10199:4395_| group:1|16612:962_9853:22695_,{},cvhunter
vbse002,cvhunter3,3,1668157623948,51974.0,121728.0,151.0,151.0,151.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on double railway tracks.,{},cvhunter
vbse002,cvhunter3,3,1668157625153,53179.0,121728.0,151.0,151.0,151.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on double railway tracks.,{},cvhunter
vbse002,cvhunter3,3,1668157647930,75956.0,121728.0,189.0,189.0,189.0,10000.0,IMAGE,feedbackModel,Bayes CLIP 15821:2727_11887:6054_15092:4496_10592:3364_4858:5348_13471:847_11887:5949_10199:2475_10911:25534_8062:1431_| group:1|4858:285_16612:1000_4768:240_,{},cvhunter
vbse002,cvhunter3,3,1668157670687,98713.0,121728.0,2.0,2.0,2.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on double railway tracks blurred vision.,{},cvhunter
vbse002,cvhunter3,3,1668157671898,99924.0,121728.0,2.0,2.0,2.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on double railway tracks blurred vision.,{},cvhunter
vbse003,cvhunter3,3,1668157950162,7585.0,32523.0,46.0,48.0,48.0,10000.0,TEXT,JointEmbedding,CLIP: Close-up shot of water waves reflecting the sun.,{},cvhunter
vbse003,cvhunter3,3,1668157951399,8822.0,32523.0,46.0,48.0,48.0,10000.0,TEXT,JointEmbedding,CLIP: Close-up shot of water waves reflecting the sun.,{},cvhunter
vbse004,cvhunter3,3,1668158282779,8192.0,13512.0,3.0,3.0,3.0,10000.0,TEXT,JointEmbedding,CLIP: A woman having a mobile phone call in bed,{},cvhunter
vbse004,cvhunter3,3,1668158283801,9214.0,13512.0,3.0,3.0,3.0,10000.0,TEXT,JointEmbedding,CLIP: A woman having a mobile phone call in bed,{},cvhunter
vbse005,cvhunter3,3,1668158409447,7634.0,10958.0,2.0,2.0,2.0,10000.0,TEXT,JointEmbedding,CLIP: A red seaplane on a lake with forests around.,{},cvhunter
vbse005,cvhunter3,3,1668158410572,8759.0,10958.0,2.0,2.0,2.0,10000.0,TEXT,JointEmbedding,CLIP: A red seaplane on a lake with forests around.,{},cvhunter
vbse006,cvhunter3,3,1668158464988,8709.0,107499.0,42.0,105.0,105.0,10000.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in a room with a yellow sofa.,{},cvhunter
vbse006,cvhunter3,3,1668158466317,10038.0,107499.0,42.0,105.0,105.0,10000.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in a room with a yellow sofa.,{},cvhunter
vbse006,cvhunter3,3,1668158484841,28562.0,107499.0,53.0,617.0,617.0,10000.0,IMAGE,feedbackModel,Bayes CLIP 12521:1065_16753:5419_1362:7097_15731:3456_2191:24973_4077:8844_819:2353_13449:32431_14755:20850_3661:12212_| group:1|13822:5327_5709:41969_,{},cvhunter
vbse006,cvhunter3,3,1668158518605,62326.0,107499.0,63.0,83.0,83.0,10000.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in a room with a yellow sofa. stripped background,{},cvhunter
vbse006,cvhunter3,3,1668158519667,63388.0,107499.0,63.0,83.0,83.0,10000.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in a room with a yellow sofa. stripped background,{},cvhunter
vbse006,cvhunter3,3,1668158533129,76850.0,107499.0,29.0,29.0,29.0,10000.0,IMAGE,feedbackModel,Bayes CLIP 13822:5327_10362:28037_14069:281_10362:26906_10362:27468_15886:3680_16323:19293_15886:1858_1362:7097_4628:5898_| group:1|5709:41969_,{},cvhunter
vbse007,cvhunter3,3,1668158712157,6567.0,11553.0,6.0,6.0,6.0,10000.0,TEXT,JointEmbedding,CLIP: Four people waving on a mountain summit.,{},cvhunter
vbse007,cvhunter3,3,1668158713344,7754.0,11553.0,6.0,6.0,6.0,10000.0,TEXT,JointEmbedding,CLIP: Four people waving on a mountain summit.,{},cvhunter
vbse008,cvhunter3,3,1668158780210,8271.0,,255.0,4069.0,2746.0,10000.0,TEXT,JointEmbedding,CLIP: A white van driving between ruins.,{},cvhunter
vbse008,cvhunter3,3,1668158781307,9368.0,,255.0,4069.0,2746.0,10000.0,TEXT,JointEmbedding,CLIP: A white van driving between ruins.,{},cvhunter
vbse008,cvhunter3,3,1668158821034,49095.0,,34.0,1105.0,1105.0,10000.0,IMAGE,feedbackModel,Bayes CLIP 14123:4856_842:21162_3949:713_4243:6512_3205:6538_9442:300_3949:743_15545:2000_2367:6006_15647:15188_| group:1|14323:15030_6249:21344_,{},cvhunter
vbse008,cvhunter3,3,1668158874725,102786.0,,287.0,958.0,321.0,10000.0,TEXT,JointEmbedding,Temporal CLIP: rocky ruins with one large block put sideways >A white van driving between ruins. ,{},cvhunter
vbse008,cvhunter3,3,1668158876667,104728.0,,287.0,958.0,321.0,10000.0,TEXT,JointEmbedding,Temporal CLIP: rocky ruins with one large block put sideways >A white van driving between ruins. ,{},cvhunter
vbse008,cvhunter3,3,1668158916224,144285.0,,370.0,810.0,370.0,10000.0,TEXT,JointEmbedding,Temporal CLIP: ruins with one large block put sideways >A white van driving between ruins. ,{},cvhunter
vbse008,cvhunter3,3,1668158918029,146090.0,,370.0,810.0,370.0,10000.0,TEXT,JointEmbedding,Temporal CLIP: ruins with one large block put sideways >A white van driving between ruins. ,{},cvhunter
