task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,category,type,value,additionals,teamFamily
vbse001,vibro1,1,1668157258000,9633.0,,55.0,55.0,55.0,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,{},vibro
vbse001,vibro1,1,1668157270000,21633.0,,931.0,931.0,931.0,IMAGE,globalFeatures, video 11789 at 00:15:10:50 (Frame #27287),{},vibro
vbse001,vibro1,1,1668157280000,31633.0,,55.0,55.0,55.0,IMAGE,globalFeatures, video 11789 at 00:15:10:50 (Frame #27287),{},vibro
vbse001,vibro1,1,1668157317000,68633.0,,1068.0,1068.0,1068.0,IMAGE,globalFeatures, video 11789 at 00:15:10:50 (Frame #27287),{},vibro
vbse001,vibro1,1,1668157325000,76633.0,,385.0,385.0,385.0,IMAGE,globalFeatures, video 11789 at 00:15:10:50 (Frame #27287),{},vibro
vbse001,vibro1,1,1668157327000,78633.0,,385.0,385.0,385.0,TEXT,jointEmbedding,A woman holding a coffee  ,{},vibro
vbse001,vibro1,1,1668157372000,123633.0,,1600.0,1600.0,1600.0,TEXT,jointEmbedding,a chinese lantern  ,{},vibro
vbse001,vibro1,1,1668157385000,136633.0,,110.0,110.0,110.0,TEXT,jointEmbedding,a chinese lantern  next to a door,{},vibro
vbse001,vibro1,1,1668157406000,157633.0,,239.0,239.0,239.0,TEXT,jointEmbedding,a chinese lantern next to a white door,{},vibro
vbse001,vibro1,1,1668157422000,173633.0,,15.0,15.0,15.0,TEXT,jointEmbedding,a chinese door,{},vibro
vbse001,vibro1,1,1668157429000,180633.0,,8533.0,inf,inf,IMAGE,globalFeatures, video 09006 at 00:10:04:50 (Frame #18116),{},vibro
vbse001,vibro1,1,1668157454000,205633.0,,55.0,55.0,55.0,IMAGE,globalFeatures, video 09006 at 00:10:04:50 (Frame #18116),{},vibro
